Source,Relation,Target,Weight
suma and daman,PLAYED ON,very special occasions like the entry of a new dalai lama into lhasa or the death anniversaries of tson-ka-pa and the various dalai lamas,1
ladakh,HOSTS,public or auspicious event,1
instrumental tradition,IS RELATED TO,islamic world,1
suma and dantan,WERE INTRODUCED BY,muslim princess from baltistan who became a ladakhi queen,1
ladakhi music,HAS FORMS FOR,particular occasion,1
lha-mga,IS PLAYED AT THE BEGINNING OF,"auspicious occasion such as sowing, or the arrival of spring, and also when serving food to incarnate lamas, or to members of the aristocracy",1
musical forms,ARE PROPER TO,ceremonial occasion,1
namgyal dynasty,HELD THEIR ROYAL STATE AT,leh and shey,1
ladakh,"CELEBRATES WITH SONG, MUSIC AND DANCE THE GLORIES OF THE DYNASTY AND OF LADAKH'S HISTORY ON","special occasions such as losar, the new year festival, and dosmoche, the leh winter festival",1
sengge namgyal's palace,GIVES ITS NAME TO THE WHOLE FESTIVAL,"the ketuk-chenmo itself, the spacious roof",1
ketuk-chenmo,ROOF OF,palace,1
namgyal kings and their courtiers,SAW,prospect,1
namgyal kings and their courtiers,CELEBRATED,song,1
festival of ketuk-chenmo,REMINDS US THAT,vanished glories,1
aristocracy and common people,ARE NO GREAT DIVIDE BETWEEN,none,1
ladakh's popular culture,ESSENCE OF,"blend of dance, music and song",1
ketuk-chenmo songs,POINTER TO,strength of oral tradition,1
francke,LAID THE FOUNDATION OF LADAKH STUDIES,none,1
francke,"PUBLISHED VERSIONS OF KESAR SAGA, NATIONAL EPIC",none,1
scholars from outside,HAVE BEEN RELATIVELY NEGLECTED,oral tradition,1
ladakhis,MADE COLLECTIONS AND TRANSLATIONS,heritage,1
master hussain,MADE TAPES OF FOLK-SONGS,none,1
leh station of radio kashmir,DOES REGULAR BROADCASTS,folk-songs,1
people's literary genius,OVERFLOWED IN CREATION OF TRADITION,popular verse,1
oral literature of ladakh,GIVES INSIGHT INTO EVERY PHASE,people's life,1
snow,PROVIDES,water,1
crops,SUSTAINS,life,1
earth,THIRSTS,water,1
ladakhi songs,CAN BE CLASSIFIED,content,1
zhabro songs,ARE ASSOCIATED WITH,chang-thang,1
ghazal,DEVELOPED,baltistan,1
ladakh,WAS YOKED TOGETHER,administratively,1
tikse man,HAS NO PLACE IN THE WORLD,compared with tikse,1
sabu native,WILL NEVER FAIL TO FEEL A LIFT,heart when she returns to sabu,1
work songs,ARE SUNG,chorus,1
harvest song,IS SUNG,solo,1
ploughman,SINGS IN PRAISE OF,dzo,1
women,INVITE THE SUN TO SHINE,melt the snows,1
indus,ENTERS,baltistan,1
dards,DIFFER,muslim dards,1
dards,PRESERVED,memory of their origins,1
ibex-hunt,CELEBRATES,hunter's skills,1
life of a pastoral community,DESCRIBE,taking flocks and herds to the mountain pastures,1
curd,PREPARE,from their milk,1
pastoral life,ENJOY,"springing wool, horns 'growing in screw-windings', pleasure of killing and eating a fat he-goat",1
dards' religion,RETAINS,pre-buddhist animistic religion,1
white jewel hill,HAS,tree with a bird sitting on it,1
red jewel hill,HAS,tree with a different kind of bird sitting on it,1
blue jewel hill,HAS,tree with a different kind of bird sitting on it,1
kesar saga,ROOTED IN,"pre-buddhist past of tibet, mongolia and china",1
ladakh's folklore,BASIS OF,kesar story,1
myths passed down by oral tradition,DIFFER WIDELY,details of the kesar story,1
hero or divine figure,KILL,giant who has been killed,1
archetypal hero,CARRY,war into the enemy's country,1
kesar,ABDUCT,bruguma,1
saga,INTERPRETED,"myth of the departure of life and warmth from the earth in winter, and their return in spring",1
kesar saga,ORIGINATE,introduction of buddhism into tibet,1
kesar,INVENT,firearms,1
wild animals,BE WARNED,danger by the report of the gun,1
muslims,BE MENTIONED,kargil district,1
the kesar saga,BE POPULAR,buddhist ladakh,1
bards of chigtan,GIVE,narrations of the saga,1
chigtan,EPITOMIZE,ladakh's composite culture,1
islam,COME TO,chigtan about the second half of the sixteenth century,1
the people,ACCEPT,islam wholeheartedly,1
the last lama,LEAVE OR DIE,over a hundred years ago,1
francke,FIND,two muslims looking after the chigtan gompa,1
buddhist dards,VISIT,the temple,1
chigtanis,REJECT,exclusiveness of islam,1
muslims and buddhists,INTERMARRY,common till very recently,1
ali tsering,HAVE A NAME,composite,1
villages in central ladakh,PARTICIPATE TOGETHER OPENLY,in dance,1
the chigtan shagaran,BE THE SUBJECT OF,a famous ballad,1
ladakh,GLORY_OF_POPULAR_CULTURE,oral literature,1
akbar ladakhi,COLLECTOR_OF_POEMS,ladakh's oral literature,1
these poems,BASED_ON_LITERAL_TRANSLATIONS,akbar ladakhi's translations,1
the birth of sengge namgyal,POEM,ali mir,1
ladakh's history,PRESERVED_MEMORY_OF,oral tradition,1
gyal katun,MOTHER_OF,sengge namgyal,1
zi-zi,TITLE_GIVEN_TO_MUSLIM_QUEENS,ladakh,1
ancient society,THREATENED_BY_CHANGE,modern world,1
ladakh's social and economic systems,AFFECTED_BY_CHANGE,any of its parts,1
ladakh,LINKAGES,the rest of the world,1
government agencies,ECONOMIC DEVELOPMENT,modern techniques,1
organizations,EFFORTS,voluntary basis,1
ladakhi people,COMMITMENT,improving matters for the land and its people,1
programmes,WISDOM OR APPROPRIATENESS,some doubts as to,1
methods,MEETING CHALLENGES,inhospitable environment,1
student volunteers,CONTRIBUTE LABOUR,construction of school at secmol village,1
ladakhi agriculture,METHODS AND RESULTS,excellence,1
public distribution system,CUSHION FOR THE POOR,year of bad harvest,1
imported rice and wheat-flour,AVAILABILITY AND CHEAPNESS,undermining traditional agriculture,1
youth,PRESSURES TAKING AWAY FROM LAND,undermining traditional agriculture,1
subsistence traders,SPREADING RESOURCES OVER EVERY REGION,ensuring economic independence,1
tourist industry,MAKING LADAKH MORE PROSPEROUS THAN EVER BEFORE,consequendy wheels and roads,1
government,LAYING STRESS,tapping of potential sources of power,1
stakna project,PROVIDE,reasonable supply of power to leh and surrounding villages,1
iqbal power project,GO ON LINE,1995,1
chutuk project,HAVE PLANS FOR,giant 12-megawatt project,1
ladakh ecological development group (ledeg),INITIATE,programme of micro-hydel plants,1
ledeg staff,USE,local labour for the in­structural work,1
village community,OPERATE AND MAINTAIN,micro-hydel plants,1
leh,SERVED BY,old and noisy diesel-generating station,1
villages,HAVE,individual solar photo-voltaic conversion sets,1
ledeg,PIONEER,use of solar energy,1
ladakhis,TAKE UP,"solar greenhouses and crop-dryers, solar cookers and water-heating systems, and solar space-heating",1
low-cost greenhouses,INSTALLATION,several thousand,1
ladakh,ECONOMY,biomass-based economy,1
agriculture,DEPENDENCY,irrigation,1
khurbathang canal,SOURCED_WATER,wakha stream,1
khurbathang plateau,COMPOSITION,alluvial silt,1
landholders,ENOURAGEMENT,cash crops of vegetables and fruit,1
igu-phey,CULTIVATION,"fodder crops, principally lucerne",1
indus,WATER_SOURCE,june,1
igu-martselang hydroelectric project,SOURCED_WATER,igu-phey canal,1
administrations of the two districts,DEVELOPMENT,water resources,1
non-official agencies,INTEGRATED_DEVELOPMENT,limited areas,1
leh town,WATER_SUPPLY,natural springs,1
ladakhi crop husbandry,EXCELLENCE,official policy,1
official policy,TAKEN_FOR_GRANTED,use of chemical fertilizers and introduction of high-yield-­ing varieties of crops,1
leh district,TOTAL_CROPPED_AREA,"17,000 hectares",1
nitrogenous fertilizers,ANNUAL_CONSUMPTION,2000 tonnes,1
phosphatic fertilizers,ANNUAL_CONSUMPTION,500-1000 tonnes,1
agriculture department,ESTIMATES_CONTRIBUTION_TO_PRODUCTIVITY,30 per cent,1
cereal husbandry in ladakh,YIELD_PER_HECTARE,three tonnes,1
researchers,WONDER WHETHER,there is actually much room for improvement,1
interventions,SUGGESTION_OF_TECHNOLOGICAL_FIX,delicately balanced ecological and social systems,1
ledeg,RUNS_INFORMATION_AND_AWARENESS-RAISING_PROGRAMMES,farmers,1
ledeg,LAYING_EMPHASIS_ON_PROBLEMS_ASSOCIATED_WITH_HIGH-TECH_AGRI­CULTURE,existing methods,1
leh autonomous hill development council,DECISION_IN_FAVOUR_OF_GREEN_MODE_OF_DEVELOPMENT,radical change of official mindset,1
government interventions,APPROPRIATENESS,environmentally inappropriate,1
fodder production,DEVELOPMENT,ladakh’s traditions,1
lucerne (ol 'm ladakhi),EXISTS,varieties,1
yarkandi ol,PREFERRED_VARIETY,due to perennial nature,1
agriculture department,ESTABLISHED_PLOTS_FOR_MULTIPLICATION_OF_SEED,number of plots,1
forestry,SCOPE,limited,1
plantation,CONFINED_TO,traditionally_grown_trees,1
poplar,GROWN,along_road_and_river_banks,1
willow,GROWN,along_road_and_river_banks,1
ladakh,ENVIRONMENT,where_biomass_is_in_short_supply,1
villagers,HAVE_NO_CHOICE_BUT_TO,burn_animal_dung,1
apricot_programme,EXAMPLE_OF_DEVELOPMENT_BUILDING_ON,what_ladakh_already_has_to_offer,1
dried_apricots,ONLY_CASH_CROP,ladakh,1
apricots,PRODUCED,since_the_1970s,1
district_administrations,DEVOTED_ATTENTION_TO,fruit,1
production,SEEMS_INSUFFICIENT_TO_MEET_ALL-INDIA_DEMAND,apricots,1
tourist_boom,PARTLY_RESULT_OF,increased_return_to_the_orchard-owner,1
marketing_networks,PARTLY_RESULT_OF_ESTABLISHMENT,increased_return_to_the_orchard-owner,1
agriculture,INSEPARABLE_FROM,livestock_rearing,1
animal_husbandry,EQUALLY_CRUCIAL_AREA_FOR_DEVELOPMENT,ladakh,1
purig_sheep,FATE_PROVIDES_CAUTIONARY_TALE_IN,ladakh,1
moorcroft_and_cunningham,MADE_A_GREAT_IMPRESSION_ON,purig_sheep,1
wool,GAVE_QUANTITY_OF,two_clips_per_year,1
meat,WAS_PARTICULARLY_DELICIOUS,purig_sheep,1
lambs,GAVE_TWO_PER_YEAR,purig_sheep,1
chang-luk_sheep,CONSTITUTES_GOOD_PART_OF_THE_WEALTH,chang-thang_nomads,1
chang-thang,HOME_TO,upland pastures,1
herdspeople,USE_FOR,coarse wool,1
ladakh,VALUE_PLACE_OF,pashm,1
chang-thang herdspeople,MAIN_SOURCE_OF_INCOME_FROM,pashm,1
srinagar,SHAWL_INDUSTRY_BASED_ON,pashm,1
kashmir,ATTEMPT_TO_ESTABLISH_SUZERAINTY_OVER,ladakh,1
state government,TRY_TO_MAINTAIN,pashmina control order,1
tibet baqals,CONTROL_TRADE_OF,pashm,1
tibet,BORDER,1962,1
ladakhi traders,BUY,best-quality pashm,1
ladakhi traders,SELL,pashm in leh,1
chang-pa lifestyle,RESEARCH,recent past,1
grasslands ecology,STUDY,urgent,1
rupshu,OPEN TO TOURISTS,manali-leh road and leh,1
western tibet chang-pa,CROSS BORDER,as refugees,1
chang-pa,COMPLAIN,conserving the kyang,1
chang-thang goat,YIELD,200-300 grams of pashm annually,1
herdspeople of chang-thang,HELP,construction of kidding-sheds and establishment of fodder-banks,1
villages,POSSESS,"ordinary goats, sheep, and cows",1
chang-thang animals,REMARKABLE QUALITIES,none,1
cross-bred merino rams,INTRODUCE,increase wool yield of local sheep,1
local goats and cattle,IMPROVE,exotic dairy breeds,1
jersey cows,DO WELL IN,ladakh,1
angora goat farm,PRODUCTION,cashgorcu,1
civil administration,ECONOMIC_CHANGE,ladakh,1
"armed forces (army, air force and paramilitary forces)",IMPACT,local economy (especially leh district),1
co-operative marketing societies,BUSINESS,74 lakhs of rupees,1
army,CUSTOMER,ladakh's traditional transporter communities,1
transporters,BUSINESS,400 lakh,1
co-operative societies,ESTABLISHED,1964,1
ladakh transport co-operative society,BUSINESS,400 lakh,1
departmental staff,DIRECTION,co-operative movement,1
local artisans (including women),POOLING EXPERTISE,making shawls or carpets,1
"producers (vegetables, pashm, transport)",NEGOTIATION,fair price,1
co-operative societies (100-odd),INVOLEMENT,75 per cent of all families in leh district,1
health and education programmes,IMPACT,virtually every individual,1
tibetan amchi system,ENCOURAGEMENT,since mid-1980s,1
leh nutrition project,INITIATE,revival,1
save the children fund,ACTIVE,region,1
ladakhis,START,going in for western medicine,1
amchis,ESTABLISH,training centre,1
government,EMPLOY,amchi health workers,1
traditional amchi families,RETURN,ancestral vocation,1
ladakhis,OPT,return and make career in ladakh,1
sonam narboo memorial hospital,BE EQUIPPED WITH,solar heating and under-floor central heating,1
hospital in kargil,MAKE IMPROVEMENTS,similar,1
district hospital,BE BUILT,khurbathang plateau,1
para-medical workers,MEET,basic health needs,1
village women,EMPHASIZE,services of women in local centres,1
ladakh,DEVELOP,philosophy of education,1
ladakh,HAVE,traditional culture,1
society,SHOW,similarity to gandhi's utopia,1
education department,APPLY,mind seriously to evolving an education adapted to ladakh's conditions,1
government,APPRECIATE,damage that can be done by inappropriate educational policies,1
ladakhis themselves,EVOLVE,type of education peculiarly suited to ladakh's needs,1
children,PURSUE,"studies in a foreign language, urdu",1
village schools,DEVALUE,indigenous social and material culture,1
private lam-dron school,ELIMINATE,urdu from the curriculum,1
lam-dron school,INTRODUCE,study of literary tibetan,1
one of the most heartening things,BE_ABOUT,contemporary ladakh,1
almost all of these,OPT_TO_RETURN,ladakhi presence in administration and professions,1
the recent establishment of colleges,MAKE_POSSIBLE,getting a degree without spending three years outside ladakh,1
a group of young ladakhis,DETERMINE_TO_CHANGE_SYSTEM,the system from the bottom up,1
secmol,CONSTITUTE_THEMSELVES_INTO,an organization,1
secmol,SECURE_COOPERATION_OF,leh administration in launching operation new hope,1
onh,AIM_TO_TRANSFORM,government system so as to render education imparts relevant and effective,1
village education committees,BE_FORMED,to involve local communities,1
secmol,RUN,education camps for young people who have been left high and dry by the system,1
secmol,CREATE,"alternative village, some 12 or 15 kilometres out of leh",1
save the children fund,START_WORK_IN,leh in 1979,1
seabuckthorn berry,IS ONE OF,richest known sources of vitamin c,1
lnp,PROCURES,product for distribution to the chang-pa,1
chang-pa,DIET IS GENERALLY DEFICIENT IN,this important nutrient,1
lnp,SPONSORS,bright boys from far-flung villages to study in leh,1
lions’ club,SETS UP A HOSTEL IN LEH FOR,such boys,1
first two directors of the lnp,ARE FROM,uk,1
lnp,"IS NOW AN AUTONOMOUS NGO, THOUGH MAINTAINING CLOSE LINKS WITH",scf,1
scf,FUNDS,lnp,1
kdp,WAS REGISTERED AS AN AUTONOMOUS NGO,in the 90s,1
kdp,HAS TRAINED,village women as community health-workers and auxiliary nurse-mid-wives,1
ledeg,WAS BORN OUT OF THE FEAR THAT,"ladakh’s traditional culture was in danger of being submerged, if not destroyed completely",1
ladakh,HAVE,change,1
ladakhis,BELIEVE,multiple models of change and development,1
ladakh,REINFORCE,traditional self-reliance,1
solar energy,BE USED FOR,heating houses in winter,1
steel and concrete,NOT BE USED AS,building materials,1
kerosene,NOT BE BURNED AS FUEL FOR,heating houses,1
ledeg,CONCENTRATE ON RESEARCH INTO,renewable sources of energy,1
ladakh,BE ENDOWED WITH,"solar, wind, and water energy",1
ledeg,RUN,"information, education and awareness-raising programmes",1
ledeg,BE AFFILIATED TO,ladakh project,1
leh women's alliance,LOOSELY AFFILIATED WITH,ledeg,1
social work and research centre,HAVE,"solar photo-voltaic workshop-cum-training-centre, groundwater drilling operation, and apricot processing project",1
youth voluntary forum,FOUND,about the same time as secmol,1
the festival,IS AN EXTENSION OF,traditional village archery festivals,1
it,REMAINS DECENTRALIZED WITH ITS ORGANIZATION,in the hands of village committees,1
the tourism department,CONFINES ITS PART IN,publicity and some funding,1
it,MAY NOT BE TOO FAR OFF THE MARK TO THINK OF IT AS A PATRON OF CULTURE,its role analogous to that of the kings of old,1
various events,WERE SPREAD OVER FIVE VILLAGES IN,the immediate vicinity of leh,1
events,"WERE ALSO HELD IN MORE DISTANT PLACES, INCLUDING",deskit and sumur in nubra,1
kargilis,HAVE BECOME INFECTED BY FESTIVAL FEVER,even the less exuberant kargilis have become infected by festival fever,1
the kargil festival of 1995,"WAS ON A MORE MODEST SCALE THAN THAT OF LEH, BUT EVEN SO",eight teams contended for the trophy in archery,1
troupes from seven villages of the district,PRESENTED THEIR CHARACTERISTIC DANCES IN THE TOWN,the tented camp in which they were accommodated,1
polo,"IS AN INTEGRAL PART OF THE FESTIVAL IN BOTH DISTRICTS, AND FOR",the first time a team from outside ladakh —  from manipur — took part in the leh tournament,1
kargil town,UNFORTUNATELY LACKS A POLO GROUND OF THE DIMENSIONS OF THE LEH ONE,"qualifying matches were held in dras and shergol, and for the semis and finals a makeshift arrangement was made to play diagonally across a square sports field down by the river",1
ladakh,HAS BEEN EXPOSED TO THE OUTSIDE WORLD THAT MANY FEARED HAD ALL THE POTENTIAL TO UNDERMINE ITS TRADITIONAL CULTURE,"after twenty years of tourism, it is possible to attempt an assessment of the impact",1
towns,"THE EFFORT TO MEET THE EXPECTATIONS OF VISITORS, USED AS THEY ARE TO A LESS FRUGAL LIFESTYLE THAN THE LADAKHIS, HAS LED TO SOME INAPPROPRIATE FORMS OF DEVELOPMENT","where there is a shortage of water and no sewage system, for instance",1
fragile mountain ecologies,ARE AT RISK EQUALLY FROM THE BOOTS OF THE WALKERS AND THE HOOVES OF THE PONIES THAT CARRY THEIR BAGGAGE,on some of the popular trekking trails,1
nepal himalaya,POLLUTION,parts,1
tourism,REGULATION,minimum,1
state tourism department,AGENDA,plan,1
leh autonomous hill development council,AGENDA,plan,1
tourists,EQUIPMENT,clothes,1
ladakhi,ENVY,lands,1
young men,LABOUR,villages,1
local guides and porters,TRADITION,kiraiyakashi,1
village women,RESPONSIBILITY,"house, family and fields",1
ladakhis,LEVEL-HEADEDNESS,culture,1
young people,APPRECIATION,problems,1
ledeg,PROPAGANDA,awareness,1
ladakhi culture,PRIDE,culture,1
tourists,CHARACTER,quality,1
ladakh,HAVE,hippy-and-drugs culture,1
visitors,SEEM TO BE DRAWN BY,an informed appreciation of some facet of ladakh's life and civilization,1
ladakhis,TAKE A FRESH LOOK AT,their own life and culture,1
sympathetic observers,EXPRESSED FEAR THAT,tourism would result in cultural erosion and psychological disorientation,1
ladakhis,REACT WITH ANXIETY AND CONFUSION TO,pressures of modernization in general and tourism in particular,1
ledeg and secmol,ARE CRUCIAL IN COUNTERING THE MORE UNFORTUNATE EFFECTS OF,the changes that no ladakhi can run away from,1
a villager from chigtan,LEARNS TO DRIVE AND BECOMES,the driver of an official car,1
a chang-thang shepherd,IS AMAZED AT,"the variety of human types he sees in the bazaar with visitors from tiruchirapalli, tokyo, abidjan, and aberdeen",1
the second son of a polyandrous marriage,REFUSES TO BECOME,a lama or to share his elder brother's wife,1
ladakh,CONTROL,change,1
ladakhis,SPLIT,package,1
villages,INTERVENTION,improve,1
mat­ters,CONCERN,ladakhis,1
mountains,LIKELIHOOD,change,1
labour,EXPECT,wage,1
farming,INTRODUCE,innovations,1
land,RETURN,family,1
society,VIABILITY,consolation,1
chang-pa family,LOSS,precious stock,1
ladakh,EXPOSURE,outside world,1
leh and kargil,RESULT,prosperity,1
tourists,CONGREGATE,bazaars,1
administrative offices,GENERATE,employment,1
military,HAVE,headquarters,1
village,QUALITY OF LIFE,increase,1
farmers,RETURNS,material comforts,1
education,MODIFY,concerns,1
ladakhis,REALIZE,the package on offer,1
ladakh,BE,ladakh no more,1
society,CREATE,a sustainable lifestyle,1
culture,EVOLVE,the reality of human nature,1
ladakh's historical ally,BE,bhutan,1
many,BELIEVE,the answer may lie in the ledeg approach,1
ladakh,NOT ASSUME,a certain model of economics or technology,1
economic structures,MINIMIZE RELIANCE ON,outside sources of supply,1
ladakh,EXPLOIT,the free and renewable sources of energy,1
systems and processes,ASSESS THE IMPACT ON,all the others,1
ladakh,INTRODUCE ANY CHANGE ONLY AFTER,the fullest discussion with those whose lives are going to be affected,1
ladakh,DEVELOPMENT,channel,1
council members,APPRECIATE,worth of foundation,1
alexander cunningham,SUGGEST,kind of development,1
helena norberg-hodge,WRITE,book,1
buddhists,FORM,minority,1
christians,FORM,tiny minority,1
muslims,FORM,small but influential population,1
zanskar,BE,buddhist area,1
ladakhi life,MOULDED,by buddhism,1
buddhism,FOLLOWED,in tibet and ladakh,1
vajrayana,BEING,the vehicle of the thunderbolt,1
chorteru,ORIGINATING,from ancient indian buddhism,1
chorten,ERECTED,over the divided ashes of gautama buddha,1
those in or near gompas,CONTAINING,sacred objects,1
buddhist,KEEPING,on his right,1
chorten,FULFILLING,the function of a gateway,1
prayer-flags,SERVING,a symbolic purpose,1
prayer-wheels,TWIRLED,in a clockwise direction,1
buddha's conception,SYMBOLIZED,by the endless motion of the wheel,1
buddhism,HAS,idea that every soul has capacity to reach state of enlightenment,1
every soul,HAS,capacity to reach state of enlightenment,1
mahayana,GOES FURTHER,principle of compassion,1
enlightened soul,CAN BE CONTENT TO ACCEPT,nirvana for itself while a single other soul remains bound,1
bodhisattva,MIGHT BE DEFINED AS,"potential buddha, enlightened soul",1
sakyamuni,WAS CONCEIVED OF AS,central one of series of seven buddhas,1
buddha,CEASED TO REMAIN A UNIFIED ONE,concept of five buddhas or five aspects of buddhahood,1
dhayani buddhas,ARE KNOWN AS,buddhas of meditation,1
tibet,ESTABLISHED ITSELF IN,mystical and esoteric religion relying largely on practices and initiations derived from secret texts of tantra,1
bon religion,WAS CHARACTERIZED BY,"pantheistic and shamanistic bon religion, highly developed cosmic system, multiplicity of gods and demons",1
buddhism in tibet,MADE NO ATTEMPT TO SUPPRESS,ancient cult altogether,1
tibetan buddhism,STUDY,absorption,1
buddhist laity,CONTENTMENT,uncomprehending observance,1
ladakhi character,DERIVATION,tranquillity and balance,1
buddhist attitudes,INFLUENCE,ladakhi character,1
compassion for all living things,IDEA,lack of value on the self,1
khampa,REPUTATION,freebooters,1
dalai lama,INCARNATION,"bodhisattva of compassion, avalokiteswara",1
lamas,INFLUENCE,ladakhi and tibetan buddhism,1
gompas,SUPPORT,agricultural land,1
khenpo or abbot,GOVERNANCE,everyday affairs of gompas,1
lamas,INFLUENCE,buddhist laity as preachers and teachers,1
gompa temples,FIND,much to meditate on,1
south-west ladakh,BE OPEN,infiltration and invasion,1
ladakh,CONVERT,to islam,1
chigtan rulers,EMBRACE,islam,1
balti invasion,ACCOMPANIED BY,destruction of buddhist religious artefacts and the looting of gompas,1
aghas,EXERCISE SPIRITUAL AUTHORITY,to this day,1
kargil town,BEGIN TO CHANGE,for the most part women are relatively secluded,1
aghas,GIVE FATWAS AGAINST,"polo, music and dancing",1
tourist authorities,CONVINCED,the aghas that kargil may lose out if they insist rigidly on the prohibition of these innocent amusements,1
aghas,LOOK ABROAD FOR,their religious education,1
monks,SEEK THEIR HIGHER RELIGIOUS QUALIFICATIONS,from the spiritual authorities of tibet,1
those from other families,ACQUIRE THE HIGHER RELIGIOUS QUALIFICATION OF MUJTAHID,from one of the great madrasas of iran or iraq,1
male members of agha families,ARE ENTITLED TO WEAR,black turbans,1
the muslim community of leh area,IS DESCENDED FROM,"immigrants, or from marriages contracted by local women with muslim merchants from kashmir and yarkand settled in leh",1
balti community,RETAINS THE CONSCIOUSNESS THAT THEY ARE BALTIS,to this day,1
kargil muslims,ARE SHIAS,who follow injunctions of their faith with uncompromising strictness,1
chushot baltis,HAVE NOT LOST —  OR HAVE IMBIBED FROM THEIR BUDDHIST NEIGHBOURS — THE CAPACITY TO ENJOY LIFE,to keep polo alive in the leh region,1
arghons,LIVE IN A WAY THAT IS NOT SO DIFFERENT FROM THAT OF THEIR BUDDHIST NEIGHBOURS,in all matters not directly governed by their religion,1
christian community,NUMBERS NO MORE THAN A FEW SCORE,in leh and a few surrounding villages,1
"jesuits azevedo, oliveira and desideri",WERE THE FIRST CHRISTIAN MISSIONARIES TO REACH LADAKH,in the seventeenth and eighteenth centuries,1
german missionaries of the moravian church,ESTABLISHED A STATION AT KEYLANG IN LAHUL,and were given permission to open another in leh in 1885,1
buddhists,TRANSLATED,the bible,1
heinrich august jaschke,STARTED,the translation of the scriptures,1
francke,CONTRIBUTED,to laying the foundation of ladakh studies,1
joseph gergan,PASSED,the mantle to,1
tsetan phuntsog,COMPLETED,the translation of the scriptures,1
ladakhi aristocracy,ACCEPTED,christianity,1
tsetan phuntsog,CONVERTED,to christianity,1
church,HAS,services,1
services,ARE,trilingual,1
three communities,HAVE,amicable relations,1
communal feeling,EXPERIENCED,bitterly in other parts of india,1
kashmiri neo-buddhists,TOOK UP THE CAUSE,of the buddhists of ladakh,1
kashmir raj bodhi mahasabha,FOUNDED,to give them a voice as a distinct community,1
ladakh buddhist association,SPEARHEADED AN AGITATION,in 1989,1
state government,HANDLED PERCEIVED GRIEVANCES INSENSITIVELY,which resulted in an agitation,1
many observers,LOVE,ladakh,1
ladakh,PARADIGM,social and religious harmony,1
tolerance of other religions,CHARACTERISTIC,vajrayana buddhism of tibet,1
buddhists,WILL NOT TOLERATE,"slaughtering animals, or even fishing, near a gompa",1
leh,TRADITION OF INTERMARRIAGE,dating right back to the days of the caravan trade,1
arghon community,BASIS OF EXISTENCE,marriages between merchants and local buddhist girls,1
muslim girls,FEWER THAN,buddhist girls marry outside their religion,1
ladakh,INFILTRATION OF MODERN VALUES,individualism and freedom of choice,1
woman,REQUIRED TO ADOPT HER HUSBAND'S RELIGION,rather than vice versa,1
communities,"WILL BE REPRESENTED AT ANY BIRTH, MARRIAGE OR FUNERAL CEREMONY",none specified,1
callers,CARRY WITH THEM,kataks (white scarves),1
kataks,PRESENTATION OF WHICH IS A CUSTOM THROUGHOUT THE REGION OF TIBETAN CULTURE,denoting respectful greeting,1
many others,SITUATED NEAR,a village,1
they,COMPLEMENT,the pattern of whose houses,1
they,RISE,tier upon tier,1
they,DOMINATE,the landscape all around,1
they,TEND TO BE,a rabbit-warren of rooms,1
the rinpoche,HAS,apartments at the top,1
the lamas,GO ABOUT THEIR DUTIES,not oblivious of the crowds,1
the monks,WEAR,yellow hats,1
the ge-lugs-pa order,IS BASED DIRECTLY ON,the teachings of padmasambhava,1
tilopa,HAD AS DISCIPLE,naropa,1
marpa,WAS TEACHER TO,mila-respa,1
tson-ka-pa,STARTED_REFORM_MOVEMENT,ge-lugs-pa,1
ka-dam-pa sect,FOUNDED_ON_BASIS_OF,atisa's teachings,1
ge-lugs-pa delegation,ARRIVED_IN,ladakh,1
first ge-lugs-pa monastery,FOUNDED_AT,spituk,1
tikse and likir,TAKEN_OVER_BY,ge-lugs-pa,1
oldest gompas,BELONGED_TO,none of these tibetan schools,1
alchi and lamayuru,ANTEDATE_THE_ESTABLISHMENT_OF,tibetan schools,1
ge-lugs-pa establishment,TOOK_CARE_OF,alchi,1
ladakh gompas,MAIN_LINKS_WITH,neighbouring villages,1
lamas,PROVIDE,religious services,1
villagers,BENEFIT,particular ceremonies and scriptural readings,1
lamas,EXORCIZE,evil spirits,1
lamas,PLACATE,angry ones,1
lamas,DETERMINE,auspicious time for any undertaking,1
villagers,PROVIDE,material base,1
families,FARM,monastic estates,1
families,MAKE PERIODIC DONATIONS,general fund or particular ceremonies,1
families,PAY FOR PROFESSIONAL SERVICES RENDERED,lamas to their families,1
gompas,DISPLAY,remarkable uniformity in wall-paintings,1
alchi murals,CONTAIN,fascinating vignettes of secular life,1
divinities and bodhisattvas,EXPRESS,philosophy in graphic form,1
mandalas,REPLACE,figures of deities and bodhisattvas,1
dharmapalas,BE,guardians of the law,1
mahakala,BE,divinity specifically associated with time,1
gon-khang,DEDICATE,fierce deities,1
lords of the four quarters,ARE REPRESENTED BY,"vimdhaka, lord of the south",1
"dhritarashtra, who rules the east",IS,white and plays a lute,1
lord of the west,IS,"virupaksha, who is red and carries a chorten in his hand",1
four kings,SIT IN THEIR,flowery gardens,1
yamantaka,SUPPORTS,wheel of life,1
green and white taras,ARE REPRESENTED AS,in the gompas,1
spituk,HAS,greatest devotion to the taras,1
"padmasambhava, atisa, tson-ka-pa",ARE OFTEN REPRESENTED AS,bodhisattvas,1
avalokiteswara (chen-re-zig),IS PERSONIFIED AS,compassion,1
vajrayana iconography,DESCRIBE,the images,1
lamas,CHANT,in a heavy rhythmical chanting,1
incense sticks,BE DISTRIBUTED,among the lamas,1
