Source,Target,TotalWeight,Relations
gur-gur,mixing butter-tea,1.0,being_used_for
wood-burning stove,dried animal-dung,1.0,burning_cakes_of
primus-type stove,kerosene,1.0,burning
gas cylinder,leh and kargil,1.0,introduced_into
the ladakhi language,a dialect of tibetan,1.0,be
most visitors,the ladakhi language,1.0,be unfamiliar with
people with whom the traveller comes in contact,hindustani,1.0,have a sufficient grasp of
leh muslims,a very chaste urdu,1.0,speak
many people,english,1.0,be fluent in
overseas visitor,ladakh than anywhere else in india,1.0,find no more difficulty about language in
outsiders,leh or the villages on the beaten track,1.0,no longer excite much curiosity in
early tourists,handouts to ladakhi children,1.0,do little service by offering
ladakhis,the climate of their land,1.0,are perhaps stimulated by
every family event,with song and dance,1.0,be the pretext for a celebration
men and women alike,chang,1.0,consume great quantities of
ladakhi buddhist,the dances from childhood,1.0,learn
every dancer,their performance,1.0,must apply uncompromising standards to appraise and criticize
gur-gur tea,ladakh,1.0,be the characteristic beverage of
tibetan peoples,butter-tea,1.0,consume in one form or another
ladakhis,fresh butter,1.0,are particular about using
gur-gur tea,well-boiled infusion of tea,1.0,be made with
ladakhis,thirty or forty cups a day,1.0,drink in enormous quantities
ladakhi house,drinking of chang or gur-gurtea,1.0,has formality about
guest,carpet-covered divan,1.0,is sitting on
chogtse,guest,1.0,is in front of
ladakhis,archery and polo,1.0,practice
leh area,football,1.0,is popular for
shamianas,crowd decked out in sunday best,1.0,shelter
men,smartest gonchas,1.0,are sober yet stylish in
women,brocade mantles and heavy strings of jewellery,1.0,are colourful with
ladakh,music and dancing,1.0,has form of islam that frowns on
archery festival,shooting itself,1.0,is actually what its name implies
leh people,willow branches,1.0,use makeshift bows fashioned from
kargil enthusiasts,very ancient design incorporating ibex horn,1.0,use high craftsmanship made to
polo,central asia and parts of the himalaya,1.0,is indigenous to
early muslim rulers,india,1.0,introduced it into
rajput states,some rajput states,1.0,played polo among ruling families of
british,polo during early days of their rule,1.0,did not know about
ladakh,polo,1.0,play
hunza,polo,1.0,play
nagar,polo,1.0,play
chitral,polo,1.0,play
gilgit,polo,1.0,play
baltistan,polo,1.0,play
peter fleming,hunza game,1.0,see
fleming,"'since he may legitimately be thwarted by any method short of a knife-thrust, this is not as easy as it sounds'",1.0,add
team,goal,1.0,score
field,level ground,1.0,size
team,good players,1.0,strength
traveler,polo game,1.0,see
cunningham,mulbekh game,1.0,see
ladakh chronicle,laying-out of a polo ground,1.0,record
travellers,game being played,1.0,show
ladakhi player,game,1.0,start/resume play
non-ladakhi players,starting/resuming play,1.0,find it difficult
polo,degree of skill,1.0,require
drew,enormous popularity in baltistan,1.0,testify
sengge namgyal,polo to ladakh,1.0,introduce
murtse garden,royal polo ground,1.0,become
others,that it was brought by the colony of baltis settled at chushot,1.0,aver
chushot baltis,both their religion — they are shia muslims to a man — and a clear consciousness of their own identity,1.0,retained
they,all the old balti enthusiasm for polo,1.0,have
chushot,its own polo ground,1.0,has
many,the finest players in and around leh are baltis from chushot,1.0,are
apart,polo,1.0,seems not to have caught on in a big way in buddhist ladakh
polo,only in those parts of the district that have a muslim population,1.0,is played
the villages of turtuk and bogdang,polo,1.0,play
in kargil district,the austere rule of the muslim clerics,1.0,put a damper on the game
dras,24 teams in the field,1.0,can put as many
ladakh,"polo from the mid-1970s, thanks to positive steps taken by the district administration",1.0,revived
exhibition and tournament matches,since then,1.0,have been held regularly
the leh polo club,the indian polo association,1.0,has secured affiliation to
the presence of the army,a sharpened interest to the game,1.0,gives
polo,in post-independence india,1.0,has been almost exclusively an army pursuit
the army,of the international game,1.0,used to field teams made up of players
the ladakh scouts,the local unit,1.0,are almost exclusively drawn from
nam­gyal tsemo,the temple and ruined fort,1.0,crowning the peak behind it
players of suma and daman,to celebrate every goal,1.0,strike up special polo music
the chushotis and others,"are for the most part small farmers, or school masters, or shop-keepers, or are employed in the various departments of the district administration as office messengers, drivers or syces",1.0,make up the local teams
tibet,some 1500 kilometres,1.0,is separated from ladakh only by a matter of distance
ladakhi scholars,tibetan script,1.0,adapted
periodical,colloquial tongue,1.0,uses
secmol,students’ educational and cul­tural movement of ladakh,1.0,organizes
ladakh,educational and cultural development,1.0,developed
tibetan influence,paramount in religious culture,1.0,remained
mon musicians,surna and daman,1.0,played
ladakhi women,to the strains of surna and daman,1.0,danced
monasteries,local initiatives in developing distinctive forms,1.0,inhibited
religion,organization,1.0,had a centralizing tendency
line of kings,the fact that it was an offshoot of the ancient tibetan dynasty,1.0,never lost sight of
buddhism,in india,1.0,remained a living religion
central and western tibet,to the fountainhead of their faith,1.0,looked for inspiration
fountain of faith,about the twelfth century,1.0,dried up
kings of the first dynasty,the development of a kind of pontifical authority,1.0,fostered
novices,in central tibet to get their higher qualifications,1.0,were sent to monasteries
ladakhi monasteries,to one or other of the monastic orders of central tibet,1.0,were affiliated
tibetan pontiffs,authority,1.0,claimed
chief monasteries,confined to doctrinal matters,1.0,seems
ritual and iconography,to the smallest details,1.0,extended
cultural forms,on religion,1.0,dependent
tibetan style,in the work of art in the gompas of ladakh,1.0,reflected
rangdum gompa,against one of the typically striated mountains,1.0,silhouetted
shayok and nubra valleys,at tegur,1.0,meeting
leh,across the polo ground,1.0,seen
kyang,on the grasslands of rupshu,1.0,tibetan wild ass
hoshiarpur,between yarkand and the punjab from the beginning of the century,1.0,family traded
bactrian camel,loads of 300 kilograms on the mountain trails,1.0,carried
te-suru,in the suru tsampa,1.0,village weaver at work
mulbekh,the earthen walls of the unpretentious mosque,1.0,where buddhism and islam mingle
skara,leh,1.0,location_of
office worker,load of fodder,1.0,carry
children,school,1.0,go_home_from
lamayuru,zanskar trek,1.0,roadhead_for
ponies,mountain trails,1.0,transportation_mean
trucks,roads,1.0,fill
ladakhi pashmina,genuine cashmere,1.0,compare with
kashmiri women,hand-spinning,1.0,developed skill
ladakh,private co-operatives of local women,1.0,has
government-sponsored district weaving centre,shawls at less than half the price,1.0,sells
ladakhi women,european-style with wool wound round left hand,1.0,knit
village women,spinning wool for village weavers,1.0,occupied with
leh handicrafts centre,design department and embroidery department,1.0,has
tibetan refugee camp at choglamsar,finer carpets,1.0,manufactures
metal objects,a universal necessity,1.0,have always been
gara,of which a few members are to be found in virtually every village of ladakh,1.0,form a distinct community
blacksmiths,to be found in virtually every village of ladakh,1.0,are
copper or brass embellished with silver,prayer-wheels and other objects used in worship,1.0,applied to
"goldsmith community, sergar",the ladakhi women,1.0,fashion much of the elaborate jewellery worn by
chiling people,nepal to construct the gigantic buddha image at shey,1.0,are descended from four craftsmen brought from
four craftsmen,nepal with their wives,1.0,"married locally, and were refused permission to return to"
chiling people,"which not only has a relatively mild microclimate, but also access to an abundant source of the wood they needed to turn into charcoal for their smelting operations",1.0,"selected chiling, situated on a south-facing ledge above the zanskar river"
ladakhi dance,living tradition,1.0,beauty
ladakhi dance,every ladakhi buddhist's training in the social graces,1.0,part of
gompa music,tibetan forms wholesale,1.0,follows
horn,on the ground a good way in front of the player's feet,1.0,played
geling,more continuously,1.0,hearing
drums,with sticks in the form of question marks,1.0,beaten
secular instrumental music,tibet,1.0,derived from
flute,on important public occasions and ceremonial private occasions,1.0,played
suma and daman,very special occasions like the entry of a new dalai lama into lhasa or the death anniversaries of tson-ka-pa and the various dalai lamas,1.0,played on
ladakh,public or auspicious event,1.0,hosts
instrumental tradition,islamic world,1.0,is related to
suma and dantan,muslim princess from baltistan who became a ladakhi queen,1.0,were introduced by
ladakhi music,particular occasion,1.0,has forms for
lha-mga,"auspicious occasion such as sowing, or the arrival of spring, and also when serving food to incarnate lamas, or to members of the aristocracy",1.0,is played at the beginning of
musical forms,ceremonial occasion,1.0,are proper to
namgyal dynasty,leh and shey,1.0,held their royal state at
ladakh,"special occasions such as losar, the new year festival, and dosmoche, the leh winter festival",1.0,"celebrates with song, music and dance the glories of the dynasty and of ladakh's history on"
sengge namgyal's palace,"the ketuk-chenmo itself, the spacious roof",1.0,gives its name to the whole festival
ketuk-chenmo,palace,1.0,roof of
namgyal kings and their courtiers,prospect,1.0,saw
namgyal kings and their courtiers,song,1.0,celebrated
festival of ketuk-chenmo,vanished glories,1.0,reminds us that
ladakh's popular culture,"blend of dance, music and song",1.0,essence of
ketuk-chenmo songs,strength of oral tradition,1.0,pointer to
scholars from outside,oral tradition,1.0,have been relatively neglected
ladakhis,heritage,1.0,made collections and translations
leh station of radio kashmir,folk-songs,1.0,does regular broadcasts
people's literary genius,popular verse,1.0,overflowed in creation of tradition
oral literature of ladakh,people's life,1.0,gives insight into every phase
snow,water,1.0,provides
crops,life,1.0,sustains
earth,water,1.0,thirsts
ladakhi songs,content,1.0,can be classified
zhabro songs,chang-thang,1.0,are associated with
ghazal,baltistan,1.0,developed
ladakh,administratively,1.0,was yoked together
tikse man,compared with tikse,1.0,has no place in the world
sabu native,heart when she returns to sabu,1.0,will never fail to feel a lift
work songs,chorus,1.0,are sung
harvest song,solo,1.0,is sung
ploughman,dzo,1.0,sings in praise of
women,melt the snows,1.0,invite the sun to shine
indus,baltistan,1.0,enters
dards,muslim dards,1.0,differ
dards,memory of their origins,1.0,preserved
ibex-hunt,hunter's skills,1.0,celebrates
life of a pastoral community,taking flocks and herds to the mountain pastures,1.0,describe
curd,from their milk,1.0,prepare
pastoral life,"springing wool, horns 'growing in screw-windings', pleasure of killing and eating a fat he-goat",1.0,enjoy
dards' religion,pre-buddhist animistic religion,1.0,retains
white jewel hill,tree with a bird sitting on it,1.0,has
red jewel hill,tree with a different kind of bird sitting on it,1.0,has
blue jewel hill,tree with a different kind of bird sitting on it,1.0,has
kesar saga,"pre-buddhist past of tibet, mongolia and china",1.0,rooted in
ladakh's folklore,kesar story,1.0,basis of
myths passed down by oral tradition,details of the kesar story,1.0,differ widely
hero or divine figure,giant who has been killed,1.0,kill
archetypal hero,war into the enemy's country,1.0,carry
kesar,bruguma,1.0,abduct
saga,"myth of the departure of life and warmth from the earth in winter, and their return in spring",1.0,interpreted
kesar saga,introduction of buddhism into tibet,1.0,originate
kesar,firearms,1.0,invent
wild animals,danger by the report of the gun,1.0,be warned
muslims,kargil district,1.0,be mentioned
the kesar saga,buddhist ladakh,1.0,be popular
bards of chigtan,narrations of the saga,1.0,give
chigtan,ladakh's composite culture,1.0,epitomize
islam,chigtan about the second half of the sixteenth century,1.0,come to
the people,islam wholeheartedly,1.0,accept
the last lama,over a hundred years ago,1.0,leave or die
francke,two muslims looking after the chigtan gompa,1.0,find
buddhist dards,the temple,1.0,visit
chigtanis,exclusiveness of islam,1.0,reject
muslims and buddhists,common till very recently,1.0,intermarry
ali tsering,composite,1.0,have a name
villages in central ladakh,in dance,1.0,participate together openly
the chigtan shagaran,a famous ballad,1.0,be the subject of
akbar ladakhi,ladakh's oral literature,1.0,collector_of_poems
these poems,akbar ladakhi's translations,1.0,based_on_literal_translations
the birth of sengge namgyal,ali mir,1.0,poem
ladakh's history,oral tradition,1.0,preserved_memory_of
gyal katun,sengge namgyal,1.0,mother_of
zi-zi,ladakh,1.0,title_given_to_muslim_queens
ancient society,modern world,1.0,threatened_by_change
ladakh's social and economic systems,any of its parts,1.0,affected_by_change
ladakh,the rest of the world,1.0,linkages
government agencies,modern techniques,1.0,economic development
organizations,voluntary basis,1.0,efforts
ladakhi people,improving matters for the land and its people,1.0,commitment
programmes,some doubts as to,1.0,wisdom or appropriateness
methods,inhospitable environment,1.0,meeting challenges
student volunteers,construction of school at secmol village,1.0,contribute labour
ladakhi agriculture,excellence,1.0,methods and results
public distribution system,year of bad harvest,1.0,cushion for the poor
imported rice and wheat-flour,undermining traditional agriculture,1.0,availability and cheapness
youth,undermining traditional agriculture,1.0,pressures taking away from land
subsistence traders,ensuring economic independence,1.0,spreading resources over every region
tourist industry,consequendy wheels and roads,1.0,making ladakh more prosperous than ever before
government,tapping of potential sources of power,1.0,laying stress
stakna project,reasonable supply of power to leh and surrounding villages,1.0,provide
iqbal power project,1995,1.0,go on line
chutuk project,giant 12-megawatt project,1.0,have plans for
ladakh ecological development group (ledeg),programme of micro-hydel plants,1.0,initiate
ledeg staff,local labour for the in­structural work,1.0,use
village community,micro-hydel plants,1.0,operate and maintain
leh,old and noisy diesel-generating station,1.0,served by
villages,individual solar photo-voltaic conversion sets,1.0,have
ledeg,use of solar energy,1.0,pioneer
ladakhis,"solar greenhouses and crop-dryers, solar cookers and water-heating systems, and solar space-heating",1.0,take up
low-cost greenhouses,several thousand,1.0,installation
ladakh,biomass-based economy,1.0,economy
agriculture,irrigation,1.0,dependency
khurbathang canal,wakha stream,1.0,sourced_water
khurbathang plateau,alluvial silt,1.0,composition
landholders,cash crops of vegetables and fruit,1.0,enouragement
igu-phey,"fodder crops, principally lucerne",1.0,cultivation
indus,june,1.0,water_source
igu-martselang hydroelectric project,igu-phey canal,1.0,sourced_water
administrations of the two districts,water resources,1.0,development
non-official agencies,limited areas,1.0,integrated_development
leh town,natural springs,1.0,water_supply
ladakhi crop husbandry,official policy,1.0,excellence
official policy,use of chemical fertilizers and introduction of high-yield-­ing varieties of crops,1.0,taken_for_granted
leh district,"17,000 hectares",1.0,total_cropped_area
nitrogenous fertilizers,2000 tonnes,1.0,annual_consumption
phosphatic fertilizers,500-1000 tonnes,1.0,annual_consumption
agriculture department,30 per cent,1.0,estimates_contribution_to_productivity
cereal husbandry in ladakh,three tonnes,1.0,yield_per_hectare
researchers,there is actually much room for improvement,1.0,wonder whether
interventions,delicately balanced ecological and social systems,1.0,suggestion_of_technological_fix
ledeg,farmers,1.0,runs_information_and_awareness-raising_programmes
ledeg,existing methods,1.0,laying_emphasis_on_problems_associated_with_high-tech_agri­culture
leh autonomous hill development council,radical change of official mindset,1.0,decision_in_favour_of_green_mode_of_development
government interventions,environmentally inappropriate,1.0,appropriateness
fodder production,ladakh’s traditions,1.0,development
lucerne (ol 'm ladakhi),varieties,1.0,exists
yarkandi ol,due to perennial nature,1.0,preferred_variety
agriculture department,number of plots,1.0,established_plots_for_multiplication_of_seed
forestry,limited,1.0,scope
plantation,traditionally_grown_trees,1.0,confined_to
poplar,along_road_and_river_banks,1.0,grown
willow,along_road_and_river_banks,1.0,grown
ladakh,where_biomass_is_in_short_supply,1.0,environment
village,burn_animal_dung,1.0,have_no_choice_but_to
apricot_programme,what_ladakh_already_has_to_offer,1.0,example_of_development_building_on
dried_apricots,ladakh,1.0,only_cash_crop
apricots,since_the_1970s,1.0,produced
district_administrations,fruit,1.0,devoted_attention_to
production,apricots,1.0,seems_insufficient_to_meet_all-india_demand
tourist_boom,increased_return_to_the_orchard-owner,1.0,partly_result_of
marketing_networks,increased_return_to_the_orchard-owner,1.0,partly_result_of_establishment
agriculture,livestock_rearing,1.0,inseparable_from
animal_husbandry,ladakh,1.0,equally_crucial_area_for_development
purig_sheep,ladakh,1.0,fate_provides_cautionary_tale_in
moorcroft_and_cunningham,purig_sheep,1.0,made_a_great_impression_on
wool,two_clips_per_year,1.0,gave_quantity_of
meat,purig_sheep,1.0,was_particularly_delicious
lambs,purig_sheep,1.0,gave_two_per_year
chang-luk_sheep,chang-thang_nomads,1.0,constitutes_good_part_of_the_wealth
chang-thang,upland pastures,1.0,home_to
herdspeople,coarse wool,1.0,use_for
chang-thang herdspeople,pashm,1.0,main_source_of_income_from
srinagar,pashm,1.0,shawl_industry_based_on
state government,pashmina control order,1.0,try_to_maintain
tibet,1962,1.0,border
ladakhi traders,best-quality pashm,1.0,buy
ladakhi traders,pashm,1.0,sell
chang-pa lifestyle,recent past,1.0,research
grasslands ecology,urgent,1.0,study
rupshu,manali-leh road and leh,1.0,open to tourists
western tibet chang-pa,as refugees,1.0,cross border
chang-pa,conserving the kyang,1.0,complain
chang-thang goat,200-300 grams of pashm annually,1.0,yield
herdspeople of chang-thang,construction of kidding-sheds and establishment of fodder-banks,1.0,help
villages,"ordinary goats, sheep, and cows",1.0,possess
cross-bred merino rams,increase wool yield of local sheep,1.0,introduce
local goats and cattle,exotic dairy breeds,1.0,improve
jersey cows,ladakh,1.0,do well in
angora goat farm,cashgorcu,1.0,production
civil administration,ladakh,1.0,economic_change
"armed forces (army, air force and paramilitary forces)",local economy (especially leh district),1.0,impact
co-operative marketing societies,74 lakhs of rupees,1.0,business
army,ladakh's traditional transporter communities,1.0,customer
transporters,400 lakh,1.0,business
co-operative societies,1964,1.0,established
ladakh transport co-operative society,400 lakh,1.0,business
departmental staff,co-operative movement,1.0,direction
local artisans (including women),making shawls or carpets,1.0,pooling expertise
"producers (vegetables, pashm, transport)",fair price,1.0,negotiation
co-operative societies (100-odd),75 per cent of all families in leh district,1.0,involement
health and education programmes,virtually every individual,1.0,impact
tibetan amchi system,since mid-1980s,1.0,encouragement
leh nutrition project,revival,1.0,initiate
save the children fund,region,1.0,active
ladakhis,going in for western medicine,1.0,start
amchis,training centre,1.0,establish
government,amchi health workers,1.0,employ
traditional amchi families,ancestral vocation,1.0,return
ladakhis,return and make career in ladakh,1.0,opt
sonam narboo memorial hospital,solar heating and under-floor central heating,1.0,be equipped with
hospital in kargil,similar,1.0,make improvements
district hospital,khurbathang plateau,1.0,be built
para-medical workers,basic health needs,1.0,meet
village women,services of women in local centres,1.0,emphasize
ladakh,philosophy of education,1.0,develop
ladakh,traditional culture,1.0,have
society,similarity to gandhi's utopia,1.0,show
education department,mind seriously to evolving an education adapted to ladakh's conditions,1.0,apply
government,damage that can be done by inappropriate educational policies,1.0,appreciate
ladakhis themselves,type of education peculiarly suited to ladakh's needs,1.0,evolve
children,"studies in a foreign language, urdu",1.0,pursue
village schools,indigenous social and material culture,1.0,devalue
private lam-dron school,urdu from the curriculum,1.0,eliminate
lam-dron school,study of literary tibetan,1.0,introduce
one of the most heartening things,contemporary ladakh,1.0,be_about
almost all of these,ladakhi presence in administration and professions,1.0,opt_to_return
the recent establishment of colleges,getting a degree without spending three years outside ladakh,1.0,make_possible
a group of young ladakhis,the system from the bottom up,1.0,determine_to_change_system
secmol,an organization,1.0,constitute_themselves_into
secmol,leh administration in launching operation new hope,1.0,secure_cooperation_of
onh,government system so as to render education imparts relevant and effective,1.0,aim_to_transform
village education committees,to involve local communities,1.0,be_formed
secmol,education camps for young people who have been left high and dry by the system,1.0,run
secmol,"alternative village, some 12 or 15 kilometres out of leh",1.0,create
save the children fund,leh in 1979,1.0,start_work_in
seabuckthorn berry,richest known sources of vitamin c,1.0,is one of
lnp,product for distribution to the chang-pa,1.0,procures
chang-pa,this important nutrient,1.0,diet is generally deficient in
lnp,bright boys from far-flung villages to study in leh,1.0,sponsors
lions’ club,such boys,1.0,sets up a hostel in leh for
first two directors of the lnp,uk,1.0,are from
lnp,scf,1.0,"is now an autonomous ngo, though maintaining close links with"
scf,lnp,1.0,funds
kdp,in the 90s,1.0,was registered as an autonomous ngo
kdp,village women as community health-workers and auxiliary nurse-mid-wives,1.0,has trained
ledeg,"ladakh’s traditional culture was in danger of being submerged, if not destroyed completely",1.0,was born out of the fear that
ladakhis,multiple models of change and development,1.0,believe
ladakh,traditional self-reliance,1.0,reinforce
solar energy,heating houses in winter,1.0,be used for
steel and concrete,building materials,1.0,not be used as
kerosene,heating houses,1.0,not be burned as fuel for
ledeg,renewable sources of energy,1.0,concentrate on research into
ladakh,"solar, wind, and water energy",1.0,be endowed with
ledeg,"information, education and awareness-raising programmes",1.0,run
ledeg,ladakh project,1.0,be affiliated to
leh women's alliance,ledeg,1.0,loosely affiliated with
social work and research centre,"solar photo-voltaic workshop-cum-training-centre, groundwater drilling operation, and apricot processing project",1.0,have
youth voluntary forum,about the same time as secmol,1.0,found
the festival,traditional village archery festivals,1.0,is an extension of
it,in the hands of village committees,1.0,remains decentralized with its organization
the tourism department,publicity and some funding,1.0,confines its part in
it,its role analogous to that of the kings of old,1.0,may not be too far off the mark to think of it as a patron of culture
various events,the immediate vicinity of leh,1.0,were spread over five villages in
events,deskit and sumur in nubra,1.0,"were also held in more distant places, including"
kargilis,even the less exuberant kargilis have become infected by festival fever,1.0,have become infected by festival fever
the kargil festival of 1995,eight teams contended for the trophy in archery,1.0,"was on a more modest scale than that of leh, but even so"
troupes from seven villages of the district,the tented camp in which they were accommodated,1.0,presented their characteristic dances in the town
polo,the first time a team from outside ladakh — from manipur — took part in the leh tournament,1.0,"is an integral part of the festival in both districts, and for"
kargil town,"qualifying matches were held in dras and shergol, and for the semis and finals a makeshift arrangement was made to play diagonally across a square sports field down by the river",1.0,unfortunately lacks a polo ground of the dimensions of the leh one
ladakh,"after twenty years of tourism, it is possible to attempt an assessment of the impact",1.0,has been exposed to the outside world that many feared had all the potential to undermine its traditional culture
towns,"where there is a shortage of water and no sewage system, for instance",1.0,"the effort to meet the expectations of visitors, used as they are to a less frugal lifestyle than the ladakhis, has led to some inappropriate forms of development"
fragile mountain ecologies,on some of the popular trekking trails,1.0,are at risk equally from the boots of the walkers and the hooves of the ponies that carry their baggage
nepal himalaya,parts,1.0,pollution
tourism,minimum,1.0,regulation
state tourism department,plan,1.0,agenda
leh autonomous hill development council,plan,1.0,agenda
tourists,clothes,1.0,equipment
ladakhi,lands,1.0,envy
young men,villages,1.0,labour
local guides and porters,kiraiyakashi,1.0,tradition
village women,"house, family and fields",1.0,responsibility
ladakhis,culture,1.0,level-headedness
young people,problems,1.0,appreciation
ledeg,awareness,1.0,propaganda
ladakhi culture,culture,1.0,pride
tourists,quality,1.0,character
ladakh,hippy-and-drugs culture,1.0,have
visitors,an informed appreciation of some facet of ladakh's life and civilization,1.0,seem to be drawn by
ladakhis,their own life and culture,1.0,take a fresh look at
sympathetic observers,tourism would result in cultural erosion and psychological disorientation,1.0,expressed fear that
ladakhis,pressures of modernization in general and tourism in particular,1.0,react with anxiety and confusion to
ledeg and secmol,the changes that no ladakhi can run away from,1.0,are crucial in countering the more unfortunate effects of
a villager from chigtan,the driver of an official car,1.0,learns to drive and becomes
a chang-thang shepherd,"the variety of human types he sees in the bazaar with visitors from tiruchirapalli, tokyo, abidjan, and aberdeen",1.0,is amazed at
the second son of a polyandrous marriage,a lama or to share his elder brother's wife,1.0,refuses to become
ladakhis,package,1.0,split
villages,improve,1.0,intervention
mat­ters,ladakhis,1.0,concern
mountains,change,1.0,likelihood
labour,wage,1.0,expect
farming,innovations,1.0,introduce
land,family,1.0,return
society,consolation,1.0,viability
chang-pa family,precious stock,1.0,loss
ladakh,outside world,1.0,exposure
leh and kargil,prosperity,1.0,result
tourists,bazaars,1.0,congregate
administrative offices,employment,1.0,generate
military,headquarters,1.0,have
village,increase,1.0,quality of life
farmers,material comforts,1.0,returns
education,concerns,1.0,modify
ladakhis,the package on offer,1.0,realize
ladakh,ladakh no more,1.0,be
society,a sustainable lifestyle,1.0,create
culture,the reality of human nature,1.0,evolve
ladakh's historical ally,bhutan,1.0,be
many,the answer may lie in the ledeg approach,1.0,believe
ladakh,a certain model of economics or technology,1.0,not assume
economic structures,outside sources of supply,1.0,minimize reliance on
ladakh,the free and renewable sources of energy,1.0,exploit
systems and processes,all the others,1.0,assess the impact on
ladakh,the fullest discussion with those whose lives are going to be affected,1.0,introduce any change only after
ladakh,channel,1.0,development
council members,worth of foundation,1.0,appreciate
alexander cunningham,kind of development,1.0,suggest
helena norberg-hodge,book,1.0,write
buddhists,minority,1.0,form
christians,tiny minority,1.0,form
muslims,small but influential population,1.0,form
zanskar,buddhist area,1.0,be
ladakhi life,by buddhism,1.0,moulded
buddhism,in tibet and ladakh,1.0,followed
vajrayana,the vehicle of the thunderbolt,1.0,being
chorteru,from ancient indian buddhism,1.0,originating
chorten,over the divided ashes of gautama buddha,1.0,erected
those in or near gompas,sacred objects,1.0,containing
buddhist,on his right,1.0,keeping
chorten,the function of a gateway,1.0,fulfilling
prayer-flags,a symbolic purpose,1.0,serving
prayer-wheels,in a clockwise direction,1.0,twirled
buddha's conception,by the endless motion of the wheel,1.0,symbolized
buddhism,idea that every soul has capacity to reach state of enlightenment,1.0,has
every soul,capacity to reach state of enlightenment,1.0,has
mahayana,principle of compassion,1.0,goes further
enlightened soul,nirvana for itself while a single other soul remains bound,1.0,can be content to accept
bodhisattva,"potential buddha, enlightened soul",1.0,might be defined as
sakyamuni,central one of series of seven buddhas,1.0,was conceived of as
buddha,concept of five buddhas or five aspects of buddhahood,1.0,ceased to remain a unified one
dhayani buddhas,buddhas of meditation,1.0,are known as
tibet,mystical and esoteric religion relying largely on practices and initiations derived from secret texts of tantra,1.0,established itself in
bon religion,"pantheistic and shamanistic bon religion, highly developed cosmic system, multiplicity of gods and demons",1.0,was characterized by
buddhism in tibet,ancient cult altogether,1.0,made no attempt to suppress
tibetan buddhism,absorption,1.0,study
buddhist laity,uncomprehending observance,1.0,contentment
ladakhi character,tranquillity and balance,1.0,derivation
buddhist attitudes,ladakhi character,1.0,influence
compassion for all living things,lack of value on the self,1.0,idea
khampa,freebooters,1.0,reputation
dalai lama,"bodhisattva of compassion, avalokiteswara",1.0,incarnation
lamas,ladakhi and tibetan buddhism,1.0,influence
gompas,agricultural land,1.0,support
khenpo or abbot,everyday affairs of gompas,1.0,governance
lamas,buddhist laity as preachers and teachers,1.0,influence
gompa temples,much to meditate on,1.0,find
south-west ladakh,infiltration and invasion,1.0,be open
ladakh,to islam,1.0,convert
chigtan rulers,islam,1.0,embrace
balti invasion,destruction of buddhist religious artefacts and the looting of gompas,1.0,accompanied by
aghas,to this day,1.0,exercise spiritual authority
kargil town,for the most part women are relatively secluded,1.0,begin to change
aghas,"polo, music and dancing",1.0,give fatwas against
tourist authorities,the aghas that kargil may lose out if they insist rigidly on the prohibition of these innocent amusements,1.0,convinced
aghas,their religious education,1.0,look abroad for
monks,from the spiritual authorities of tibet,1.0,seek their higher religious qualifications
those from other families,from one of the great madrasas of iran or iraq,1.0,acquire the higher religious qualification of mujtahid
male members of agha families,black turbans,1.0,are entitled to wear
the muslim community of leh area,"immigrants, or from marriages contracted by local women with muslim merchants from kashmir and yarkand settled in leh",1.0,is descended from
balti community,to this day,1.0,retains the consciousness that they are baltis
kargil muslims,who follow injunctions of their faith with uncompromising strictness,1.0,are shias
chushot baltis,to keep polo alive in the leh region,1.0,have not lost — or have imbibed from their buddhist neighbours — the capacity to enjoy life
arghons,in all matters not directly governed by their religion,1.0,live in a way that is not so different from that of their buddhist neighbours
christian community,in leh and a few surrounding villages,1.0,numbers no more than a few score
"jesuits azevedo, oliveira and desideri",in the seventeenth and eighteenth centuries,1.0,were the first christian missionaries to reach ladakh
german missionaries of the moravian church,and were given permission to open another in leh in 1885,1.0,established a station at keylang in lahul
buddhists,the bible,1.0,translated
heinrich august jaschke,the translation of the scriptures,1.0,started
francke,to laying the foundation of ladakh studies,1.0,contributed
joseph gergan,the mantle to,1.0,passed
tsetan phuntsog,the translation of the scriptures,1.0,completed
ladakhi aristocracy,christianity,1.0,accepted
tsetan phuntsog,to christianity,1.0,converted
church,services,1.0,has
services,trilingual,1.0,are
three communities,amicable relations,1.0,have
communal feeling,bitterly in other parts of india,1.0,experienced
kashmiri neo-buddhists,of the buddhists of ladakh,1.0,took up the cause
kashmir raj bodhi mahasabha,to give them a voice as a distinct community,1.0,founded
ladakh buddhist association,in 1989,1.0,spearheaded an agitation
state government,which resulted in an agitation,1.0,handled perceived grievances insensitively
many observers,ladakh,1.0,love
ladakh,social and religious harmony,1.0,paradigm
tolerance of other religions,vajrayana buddhism of tibet,1.0,characteristic
buddhists,"slaughtering animals, or even fishing, near a gompa",1.0,will not tolerate
leh,dating right back to the days of the caravan trade,1.0,tradition of intermarriage
arghon community,marriages between merchants and local buddhist girls,1.0,basis of existence
muslim girls,buddhist girls marry outside their religion,1.0,fewer than
ladakh,individualism and freedom of choice,1.0,infiltration of modern values
woman,rather than vice versa,1.0,required to adopt her husband's religion
communities,none specified,1.0,"will be represented at any birth, marriage or funeral ceremony"
callers,kataks (white scarves),1.0,carry with them
